Date,Source,Site ID,POC,NO2,Units,AQI,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
08/20/2018,AQS,360290005,3,11.6,ppb,10,BUFFALO,20,83,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/21/2018,AQS,360290005,3,23.5,ppb,22,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/22/2018,AQS,360290005,3,17.6,ppb,16,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/23/2018,AQS,360290005,3,12.4,ppb,11,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/24/2018,AQS,360290005,3,26.3,ppb,25,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/25/2018,AQS,360290005,3,13.1,ppb,12,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/26/2018,AQS,360290005,3,7.3,ppb,7,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/27/2018,AQS,360290005,3,25,ppb,24,BUFFALO,20,83,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/28/2018,AQS,360290005,3,8.4,ppb,8,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/11/2018,AQS,360290005,3,19.6,ppb,18,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/12/2018,AQS,360290005,3,14.9,ppb,13,BUFFALO,19,79,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/13/2018,AQS,360290005,3,15,ppb,14,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/14/2018,AQS,360290005,3,18.5,ppb,17,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/15/2018,AQS,360290005,3,16.6,ppb,15,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/16/2018,AQS,360290005,3,15.5,ppb,14,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/17/2018,AQS,360290005,3,21.7,ppb,20,BUFFALO,19,79,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/18/2018,AQS,360290005,3,15.1,ppb,14,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
09/19/2018,AQS,360290005,3,10.7,ppb,9,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
